,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
sub-matching-sat-11,7.00,6.54,0.30,1053428,7.06,6.53,0.50,730668,,,,,11.15,7.29,3.82,28476,
sub-matching-sat-33,1.89,1.77,0.07,295500,4.55,4.16,0.37,580204,,,,,8.34,5.19,3.12,27808,
sub-matching-sat-2,4.79,4.47,0.23,925272,5.80,5.42,0.35,537340,,,,,8.86,5.94,2.88,28152,
sub-matching-sat-45,8.57,8.07,0.32,1190924,12.82,11.99,0.79,1166480,,,,,17.75,12.39,5.32,31180,
sub-matching-sat-12,5.49,5.09,0.22,926680,6.31,5.91,0.38,604364,,,,,9.80,6.55,3.22,28220,
sub-matching-sat-44,2.19,1.91,0.10,365124,9.85,9.07,0.75,1125676,,,,,15.17,9.99,5.12,30592,
sub-matching-sat-49,1.80,1.65,0.08,252996,7.01,6.55,0.43,651528,,,,,10.60,7.15,3.40,28416,
sub-matching-unsat-37,2.09,1.83,0.09,331856,16.31,15.42,0.85,1263324,,,,,20.86,15.18,5.61,31360,
sub-matching-unsat-3,7.76,6.98,0.72,1189976,11.33,10.58,0.71,1010996,,,,,15.72,11.03,4.64,30692,
sub-matching-unsat-24,7.74,7.00,0.56,922092,12.99,12.53,0.42,642456,,,,,14.00,10.72,3.24,28764,
sub-matching-sat-29,15.49,14.49,0.93,1313264,19.21,18.19,0.96,1436376,,,,,24.37,17.97,6.18,31768,
sub-matching-sat-23,2.59,2.13,0.27,408136,16.70,15.70,0.92,1447176,,,,,21.94,15.62,6.24,31720,
sub-matching-unsat-26,1.97,1.65,0.15,213616,5.36,5.06,0.27,436084,,,,,7.37,5.00,2.34,27484,
sub-matching-unsat-6,5.78,5.03,0.56,910332,7.21,6.79,0.39,616896,,,,,10.53,7.24,3.25,28180,
sub-matching-unsat-14,9.10,8.24,0.67,1047480,10.72,10.08,0.60,878864,,,,,14.40,10.27,4.08,29152,
sub-matching-unsat-49,2.33,1.97,0.19,311440,15.94,15.04,0.85,1270780,,,,,21.34,15.04,5.75,31496,
sub-matching-unsat-13,7.58,6.65,0.79,1136448,8.39,7.70,0.66,1071884,,,,,14.30,9.28,4.82,28968,
sub-matching-sat-50,7.08,6.25,0.66,1055364,9.03,8.47,0.52,748336,,,,,12.62,8.96,3.45,28948,
sub-matching-unsat-31,2.81,2.46,0.23,371368,16.70,15.81,0.84,1274840,,,,,21.56,15.64,5.71,31640,
sub-matching-unsat-30,3.03,2.61,0.30,476432,12.45,11.53,0.88,1398740,,,,,19.07,12.71,6.08,31076,
sub-matching-unsat-47,2.40,1.97,0.26,383312,8.79,8.08,0.68,1049448,,,,,14.42,9.52,4.59,29068,
sub-matching-sat-46,2.40,2.10,0.19,296844,10.49,9.79,0.65,959376,,,,,14.81,10.46,4.31,30544,
sub-matching-sat-19,9.18,8.18,0.89,1292624,11.89,11.06,0.74,1217576,,,,,17.38,11.83,5.49,30796,
sub-matching-unsat-38,2.52,2.07,0.28,415116,21.55,20.30,1.16,1909516,,,,,27.77,20.32,7.21,32740,
sub-matching-unsat-23,13.08,12.03,0.85,1307136,15.99,15.09,0.84,1305996,,,,,20.52,14.65,5.81,31320,
sub-matching-unsat-33,2.55,2.12,0.26,409604,17.97,16.86,1.05,1610312,,,,,23.88,17.23,6.58,31892,
sub-matching-sat-41,1.96,1.71,0.16,252072,4.49,4.14,0.32,541040,,,,,5.60,4.25,1.33,27800,
sub-matching-sat-34,2.23,1.85,0.19,252832,3.38,3.09,0.25,408924,,,,,5.80,3.74,2.04,27280,
sub-matching-sat-10,4.51,3.85,0.46,716096,2.81,2.55,0.21,349620,,,,,4.75,3.15,1.58,26696,
sub-matching-sat-35,1.95,1.70,0.17,280884,5.72,5.32,0.37,571764,,,,,9.03,6.05,2.95,27992,
sub-matching-sat-1,2.30,1.94,0.19,343484,14.98,13.99,0.93,1423652,,,,,20.69,14.61,6.02,31796,
sub-matching-sat-39,2.08,1.70,0.17,252464,8.65,8.12,0.49,800580,,,,,12.58,8.79,3.76,28928,
sub-matching-unsat-9,8.50,7.65,0.74,1146684,8.90,8.25,0.61,1102756,,,,,14.36,9.52,4.81,29024,
