,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
benchmark_0120,,,,,,,,,3.58,3.43,0.12,386684,0.07,0.05,0.01,31436,
benchmark_0193,,,,,,,,,3.79,3.59,0.15,407908,0.07,0.04,0.02,31420,
benchmark_0174,,,,,,,,,3.81,3.67,0.12,394148,0.07,0.05,0.01,31452,
benchmark_0198,,,,,,,,,3.63,3.47,0.12,393444,0.06,0.04,0.02,31400,
benchmark_0036,,,,,,,,,3.75,3.56,0.14,404520,0.08,0.05,0.01,31456,
benchmark_0153,,,,,,,,,3.88,3.73,0.12,392212,0.07,0.05,0.02,31452,
benchmark_0274,,,,,,,,,3.69,3.52,0.14,391912,0.07,0.05,0.02,31460,
benchmark_0093,,,,,,,,,3.54,3.36,0.14,394152,0.07,0.05,0.01,31424,
benchmark_0189,,,,,,,,,3.67,3.49,0.15,409216,0.07,0.04,0.02,31444,
benchmark_0068,,,,,,,,,3.69,3.51,0.15,403440,0.07,0.05,0.01,31452,
benchmark_0012,,,,,,,,,3.77,3.56,0.16,399096,0.07,0.04,0.02,31456,
benchmark_0246,,,,,,,,,3.87,3.71,0.13,420380,0.07,0.05,0.01,31400,
benchmark_0358,,,,,,,,,3.78,3.56,0.15,398724,0.07,0.05,0.01,31484,
benchmark_0039,,,,,,,,,3.87,3.71,0.13,389364,0.07,0.04,0.02,31424,
benchmark_0296,,,,,,,,,4.05,3.86,0.16,402696,0.07,0.05,0.01,31452,
benchmark_0250,,,,,,,,,3.77,3.56,0.13,408196,0.07,0.04,0.02,31424,
benchmark_0074,,,,,,,,,3.80,3.62,0.14,394828,0.07,0.04,0.01,31432,
benchmark_0322,,,,,,,,,3.80,3.63,0.14,404944,0.07,0.05,0.01,31428,
benchmark_0206,,,,,,,,,3.69,3.54,0.12,399152,0.07,0.05,0.02,31420,
benchmark_0328,,,,,,,,,3.91,3.75,0.12,416436,0.06,0.05,0.01,31428,
benchmark_0184,,,,,,,,,3.45,3.28,0.12,394156,0.06,0.04,0.02,31452,
benchmark_0142,,,,,,,,,3.82,3.67,0.13,411760,0.06,0.04,0.02,31400,
benchmark_0049,,,,,,,,,3.76,3.55,0.16,387828,0.06,0.04,0.02,31420,
benchmark_0372,,,,,,,,,3.72,3.50,0.17,413508,0.06,0.04,0.01,31424,
benchmark_0128,,,,,,,,,3.73,3.58,0.13,407692,0.07,0.04,0.02,31452,
benchmark_0347,,,,,,,,,3.81,3.60,0.17,434072,0.07,0.04,0.02,31396,
benchmark_0095,,,,,,,,,3.85,3.65,0.15,412384,0.07,0.05,0.02,31400,
benchmark_0463,,,,,,,,,3.85,3.66,0.14,395252,0.07,0.04,0.02,31480,
benchmark_0010,,,,,,,,,3.63,3.43,0.14,401780,0.07,0.05,0.01,31428,
benchmark_0386,,,,,,,,,3.99,3.76,0.15,408428,0.07,0.05,0.01,31452,
benchmark_0134,,,,,,,,,3.90,3.73,0.14,401760,0.06,0.05,0.01,31452,
benchmark_0025,,,,,,,,,3.88,3.70,0.15,388476,0.07,0.05,0.01,31420,
benchmark_0488,,,,,,,,,3.76,3.55,0.17,417284,0.07,0.04,0.02,31416,
benchmark_0229,,,,,,,,,3.75,3.57,0.13,406840,0.07,0.05,0.02,31452,
benchmark_0033,,,,,,,,,4.16,3.96,0.14,421324,0.06,0.04,0.01,31420,
benchmark_0350,,,,,,,,,3.61,3.43,0.12,396616,0.07,0.04,0.02,31472,
benchmark_0004,,,,,,,,,3.71,3.55,0.13,396168,0.07,0.05,0.01,31424,
benchmark_0304,,,,,,,,,3.93,3.76,0.13,405492,0.06,0.04,0.01,31420,
benchmark_0447,,,,,,,,,3.83,3.67,0.13,401912,0.07,0.05,0.01,31432,
benchmark_0294,,,,,,,,,3.79,3.61,0.15,385764,0.07,0.04,0.01,31476,
benchmark_0345,,,,,,,,,3.70,3.51,0.17,414604,0.07,0.05,0.01,31416,
