bench,bass_time,cvc5_time,ostrich_time,z3_time
instance01053.smt2,0.55,0.04,1.94,0.06
instance01054.smt2,0.56,0.04,1.93,0.08
instance01056.smt2,0.53,0.04,1.93,0.07
instance01057.smt2,0.53,0.04,1.92,0.08
instance01067.smt2,0.55,0.03,2.15,0.06
instance01088.smt2,0.6,0.03,2.01,0.07
instance01089.smt2,0.59,0.04,1.85,0.07
instance01101.smt2,0.53,0.02,1.83,0.1
instance01107.smt2,0.52,0.31,1.82,0.06
instance01121.smt2,0.61,0.04,2.08,0.07
instance01135.smt2,0.55,0.03,1.82,0.09
instance01146.smt2,0.63,0.05,2.09,0.08
instance01168.smt2,0.66,0.04,1.93,0.06
instance01189.smt2,0.65,0.03,2.13,0.07
instance01197.smt2,0.57,0.03,1.95,0.06
instance01235.smt2,0.52,0.05,1.86,0.06
instance01242.smt2,0.59,0.04,1.8,0.07
instance01256.smt2,0.59,0.03,1.71,0.08
instance01258.smt2,0.57,0.04,1.79,0.06
instance01271.smt2,0.59,0.04,1.86,0.1
instance01273.smt2,0.55,0.04,1.65,0.06
instance01274.smt2,0.58,0.02,1.7,0.06
instance01275.smt2,0.52,0.06,1.97,0.11
instance01277.smt2,0.57,0.04,2.15,0.08
instance01287.smt2,0.6,0.03,1.94,0.07
instance01297.smt2,0.49,0.03,1.89,0.1
instance01298.smt2,0.53,0.03,1.75,0.08
instance01325.smt2,0.52,0.03,2.05,0.06
instance01338.smt2,0.56,0.03,1.71,0.06
instance01353.smt2,0.57,0.04,1.89,0.06
instance01355.smt2,0.56,0.03,1.91,0.06
instance01359.smt2,0.54,0.02,1.84,0.06
instance01360.smt2,0.56,0.04,1.67,0.06
instance01361.smt2,0.6,0.03,1.98,0.09
instance01367.smt2,0.56,0.04,1.94,0.06
instance01368.smt2,0.57,0.04,1.92,0.06
instance01369.smt2,0.61,0.03,2.03,0.06
instance01376.smt2,0.56,0.04,1.91,0.06
instance01401.smt2,0.63,0.02,1.82,0.07
instance01402.smt2,0.57,0.02,1.8,0.06
instance01408.smt2,0.61,0.03,1.96,0.06
instance01410.smt2,0.61,0.04,1.77,0.06
instance01412.smt2,0.59,0.04,2.02,0.05
instance01414.smt2,0.57,0.03,1.72,0.09
instance01425.smt2,0.57,0.03,2.11,0.06
instance01427.smt2,0.6,0.03,1.75,0.05
instance01428.smt2,0.56,0.04,1.79,0.05
instance01447.smt2,0.55,0.05,1.68,0.06
instance01458.smt2,0.62,0.04,1.83,0.06
instance01468.smt2,0.65,0.06,1.96,0.06
instance01474.smt2,0.59,0.03,1.82,0.05
instance01476.smt2,0.63,0.04,1.8,0.05
instance01478.smt2,0.56,0.04,2.15,0.05
instance01484.smt2,0.58,0.02,2.06,0.05
instance01491.smt2,0.6,0.03,1.97,0.06
instance01492.smt2,0.54,0.04,1.85,0.06
instance01495.smt2,0.6,0.03,1.88,0.06
instance01523.smt2,0.61,0.03,1.97,0.08
instance01526.smt2,0.52,0.03,1.84,0.06
instance01527.smt2,0.56,0.02,1.94,0.06
instance01544.smt2,0.53,0.04,1.67,0.05
instance01558.smt2,0.58,0.04,1.97,0.06
instance01567.smt2,0.55,0.03,1.89,0.07
instance01568.smt2,0.62,0.02,1.92,0.06
instance01576.smt2,0.53,0.03,2.04,0.05
instance01592.smt2,0.49,0.03,1.58,0.05
instance01593.smt2,0.58,0.03,1.71,0.06
instance01610.smt2,0.58,0.03,1.74,0.06
instance01612.smt2,0.59,0.03,1.77,0.07
instance01614.smt2,0.58,0.03,1.94,0.06
instance01617.smt2,0.58,0.04,1.79,0.07
instance01633.smt2,0.6,0.04,1.89,0.05
instance01653.smt2,0.62,0.03,1.82,0.06
instance01657.smt2,0.56,0.03,1.94,0.06
instance01658.smt2,0.55,0.04,1.93,0.05
instance01660.smt2,0.56,0.04,1.79,0.06
instance01666.smt2,0.55,0.03,1.91,0.05
instance01669.smt2,0.61,0.02,1.8,0.06
instance01688.smt2,0.59,0.04,1.95,0.07
instance01690.smt2,0.68,0.03,2.06,0.06
instance01695.smt2,0.6,0.02,1.95,0.07
instance01697.smt2,0.6,0.03,1.71,0.07
instance01701.smt2,0.55,0.03,1.81,0.06
instance01711.smt2,0.46,0.05,1.92,0.07
instance01716.smt2,0.58,0.04,1.78,0.06
instance01718.smt2,0.52,0.02,1.78,0.06
instance01725.smt2,0.58,0.05,1.88,0.05
instance01732.smt2,0.53,0.04,1.76,0.06
instance01733.smt2,0.5,0.03,1.91,0.08
instance01745.smt2,0.51,0.03,1.86,0.06
instance01746.smt2,0.5,0.02,1.77,0.05
instance01749.smt2,0.51,0.03,1.99,0.06
instance01758.smt2,0.52,0.03,2.05,0.05
instance01768.smt2,0.57,0.04,1.96,0.06
instance01779.smt2,0.53,0.03,1.79,0.06
instance01785.smt2,0.62,0.03,1.95,0.07
instance01795.smt2,0.55,0.04,1.82,0.09
instance01805.smt2,0.54,0.03,1.88,0.07
instance01808.smt2,0.59,0.02,1.89,0.06
instance01814.smt2,0.56,0.03,1.96,0.07
instance01819.smt2,0.54,0.04,1.94,0.09
instance01828.smt2,0.52,0.03,1.67,0.06
instance01831.smt2,0.57,0.04,1.91,0.06
instance01834.smt2,0.65,0.03,2.06,0.07
instance01837.smt2,0.53,0.03,1.83,0.06
instance01844.smt2,0.52,0.04,1.88,0.06
instance01853.smt2,0.55,0.04,1.8,0.06
instance01855.smt2,0.52,0.05,1.95,0.06
instance01857.smt2,0.6,0.04,2.04,0.06
instance01859.smt2,0.58,0.03,1.73,0.06
instance01875.smt2,0.57,0.04,1.82,0.06
instance01884.smt2,0.58,0.03,1.64,0.1
instance01894.smt2,0.58,0.04,1.76,0.06
instance01902.smt2,0.64,0.02,1.88,0.06
instance01904.smt2,0.62,0.03,1.81,0.07
instance01917.smt2,0.5,0.03,1.92,0.05
instance01918.smt2,0.56,0.04,1.8,0.06
instance01922.smt2,0.6,0.05,1.93,0.06
instance01924.smt2,0.63,0.04,1.71,0.05
instance01945.smt2,0.49,0.04,1.98,0.06
instance01951.smt2,0.63,0.03,1.74,0.07
instance01959.smt2,0.59,0.04,1.86,0.07
instance01960.smt2,0.57,0.03,1.92,0.07
instance01964.smt2,0.49,0.03,1.69,0.1
instance01976.smt2,0.52,0.04,1.69,0.06
instance01985.smt2,0.57,0.03,1.93,0.05
instance01989.smt2,0.58,0.03,1.91,0.06
instance01991.smt2,0.56,0.03,1.8,0.07
instance02002.smt2,0.51,0.04,1.86,0.06
instance02006.smt2,0.57,0.03,1.93,0.06
instance02013.smt2,0.51,0.03,1.93,0.08
instance02022.smt2,0.58,0.02,1.95,0.06
instance02030.smt2,0.48,0.04,1.88,0.06
instance02038.smt2,0.48,0.03,1.79,0.06
instance02043.smt2,0.58,0.03,1.78,0.06
instance02047.smt2,0.51,0.03,2.1,0.06
instance02060.smt2,0.53,0.03,1.82,0.06
instance02063.smt2,0.52,0.04,1.81,0.06
instance02064.smt2,0.51,0.04,1.96,0.06
instance02066.smt2,0.54,0.03,1.79,0.06
instance02074.smt2,0.48,0.04,1.8,0.06
instance02086.smt2,0.54,0.03,1.94,0.06
instance02091.smt2,0.49,0.04,1.96,0.07
instance02093.smt2,0.52,0.03,1.89,0.07
instance02098.smt2,0.6,0.04,1.7,0.06
instance02120.smt2,0.62,0.03,1.83,0.08
