bench,bass_time,cvc5_time,ostrich_time,z3_time
instance04479.smt2,0.6,0.02,1.73,0.07
instance04498.smt2,0.68,0.03,1.87,0.08
instance04503.smt2,0.64,0.03,1.9,0.06
instance04507.smt2,0.68,0.02,1.92,0.06
instance04516.smt2,0.6,0.04,1.95,0.06
instance04517.smt2,0.65,0.03,2.0,0.07
instance04524.smt2,0.58,0.04,1.82,0.09
instance04525.smt2,0.63,0.02,1.76,0.08
instance04527.smt2,0.65,0.03,1.75,0.09
instance04538.smt2,0.64,0.02,1.88,0.07
instance04542.smt2,0.64,0.03,1.92,0.09
instance04543.smt2,0.58,0.03,1.9,0.07
instance04545.smt2,0.5,0.04,1.96,0.06
instance04559.smt2,0.52,0.02,1.71,0.07
instance04564.smt2,0.53,0.03,1.83,0.07
instance04568.smt2,0.48,0.04,1.75,0.06
instance04594.smt2,0.56,0.03,1.63,0.06
instance04600.smt2,0.52,0.05,1.97,0.06
instance04602.smt2,0.45,0.03,1.97,0.06
instance04605.smt2,0.58,0.18,2.05,0.06
instance04614.smt2,0.56,0.06,1.72,0.1
instance04628.smt2,0.55,0.02,1.75,0.06
instance04648.smt2,0.52,0.02,1.89,0.06
instance04650.smt2,0.56,0.02,1.9,0.06
instance04659.smt2,0.55,0.04,1.8,0.06
instance04660.smt2,0.58,0.02,2.03,0.07
instance04662.smt2,0.57,0.02,1.97,0.06
instance04678.smt2,0.57,0.03,1.88,0.07
instance04681.smt2,0.57,0.02,1.95,0.07
instance04683.smt2,0.54,0.03,1.93,0.08
instance04687.smt2,0.54,0.05,1.9,0.07
instance04692.smt2,0.52,0.03,2.03,0.06
instance04700.smt2,0.56,0.02,1.97,0.07
instance04705.smt2,0.59,0.03,1.95,0.06
instance04709.smt2,0.56,0.04,1.83,0.1
instance04712.smt2,0.59,0.04,1.84,0.06
instance04715.smt2,0.54,0.04,1.95,0.08
instance04732.smt2,0.59,0.02,1.81,0.06
instance04742.smt2,0.59,0.03,2.0,0.08
instance04743.smt2,0.6,0.04,1.91,0.19
instance04744.smt2,0.57,0.03,1.83,0.08
instance04747.smt2,0.61,0.04,1.94,0.07
instance04750.smt2,0.55,0.03,1.95,0.07
instance04762.smt2,0.6,0.03,1.79,0.17
instance04768.smt2,0.61,0.03,2.08,0.08
instance04788.smt2,0.54,0.02,1.66,0.08
instance04794.smt2,0.6,0.02,1.7,0.06
instance04795.smt2,0.57,0.03,1.76,0.06
instance04797.smt2,0.56,0.03,1.95,0.07
instance04810.smt2,0.56,0.02,1.97,0.05
instance04811.smt2,0.59,0.03,1.97,0.06
instance04813.smt2,0.56,0.04,1.74,0.08
instance04825.smt2,0.59,0.03,1.87,0.06
instance04829.smt2,0.56,0.04,1.85,0.11
instance04836.smt2,0.58,0.04,1.78,0.09
instance04842.smt2,0.54,0.03,1.86,0.06
instance04857.smt2,0.59,0.04,1.69,0.07
instance04863.smt2,0.58,0.04,1.82,0.06
instance04875.smt2,0.6,0.02,2.08,0.11
instance04893.smt2,0.61,0.04,1.87,0.07
instance04895.smt2,0.58,0.04,1.89,0.06
instance04902.smt2,0.58,0.03,2.03,0.06
instance04914.smt2,0.58,0.03,2.02,0.05
instance04924.smt2,0.63,0.03,1.77,0.06
instance04925.smt2,0.64,0.02,1.94,0.08
instance04926.smt2,0.64,0.04,1.93,0.07
instance04933.smt2,0.59,0.03,1.88,0.07
instance04936.smt2,0.63,0.03,1.94,0.1
instance04944.smt2,0.63,0.04,1.9,0.06
instance04967.smt2,0.62,0.05,1.91,0.06
instance04971.smt2,0.67,0.03,1.76,0.09
instance04973.smt2,0.59,0.04,1.96,0.06
instance04975.smt2,0.61,0.02,1.86,0.07
instance04977.smt2,0.68,0.04,1.85,0.06
instance04985.smt2,0.68,0.04,2.0,0.06
instance04989.smt2,0.74,0.02,2.11,0.07
instance04991.smt2,0.72,0.02,1.83,0.06
instance05004.smt2,0.67,0.02,2.06,0.06
instance05008.smt2,0.69,0.04,2.02,0.06
instance05022.smt2,0.66,0.02,2.05,0.06
instance05047.smt2,0.69,0.03,1.82,0.07
instance05050.smt2,0.67,0.03,1.83,0.08
instance05066.smt2,0.72,0.03,2.17,0.07
instance05073.smt2,0.59,0.02,1.74,0.08
instance05079.smt2,0.68,0.04,1.8,0.07
instance05081.smt2,0.55,0.04,1.99,0.06
instance05117.smt2,0.63,0.03,1.76,0.06
instance05123.smt2,0.63,0.02,1.74,0.07
instance05124.smt2,0.6,0.03,2.05,0.06
instance05131.smt2,0.56,0.02,1.68,0.08
instance05148.smt2,0.47,0.04,1.94,0.06
instance05152.smt2,0.52,0.02,2.02,0.07
instance05161.smt2,0.63,0.02,1.63,0.07
instance05163.smt2,0.66,0.04,1.87,0.07
instance05169.smt2,0.59,0.03,1.95,0.07
instance05177.smt2,0.64,0.03,1.94,0.07
instance05179.smt2,0.57,0.04,1.83,0.08
instance05194.smt2,0.58,0.03,1.8,0.09
instance05206.smt2,0.54,0.04,1.93,0.06
instance05210.smt2,0.54,0.04,1.82,0.06
instance05211.smt2,0.54,0.03,1.63,0.06
instance05228.smt2,0.53,0.02,1.82,0.06
instance05229.smt2,0.55,0.03,1.89,0.06
instance05230.smt2,0.57,0.02,1.75,0.06
instance05236.smt2,0.63,0.04,1.93,0.09
instance05253.smt2,0.59,0.04,2.03,0.06
instance05259.smt2,0.61,0.03,2.05,0.06
instance05266.smt2,0.62,0.05,2.1,0.05
instance05273.smt2,0.56,0.02,1.9,0.07
instance05275.smt2,0.54,0.05,1.89,0.07
instance05280.smt2,0.54,0.03,1.83,0.05
instance05291.smt2,0.65,0.04,2.06,0.06
instance05304.smt2,0.7,0.02,2.01,0.07
instance05305.smt2,0.64,0.02,1.9,0.07
instance05311.smt2,0.56,0.03,1.83,0.06
instance05312.smt2,0.62,0.04,1.96,0.06
instance05316.smt2,0.57,0.02,1.88,0.06
instance05318.smt2,0.57,0.02,2.04,0.06
instance05339.smt2,0.63,0.03,2.01,0.07
instance05345.smt2,0.66,0.02,1.9,0.06
instance05348.smt2,0.62,0.03,2.02,0.06
instance05365.smt2,0.6,0.02,1.94,0.05
instance05378.smt2,0.55,0.03,1.77,0.06
instance05380.smt2,0.59,0.02,2.11,0.07
instance05388.smt2,0.68,0.04,1.95,0.08
instance05396.smt2,0.62,0.04,2.0,0.06
instance05411.smt2,0.63,0.02,1.86,0.06
instance05412.smt2,0.46,0.02,1.91,0.06
instance05424.smt2,0.46,0.04,1.97,0.06
instance05426.smt2,0.51,0.03,2.05,0.07
instance05428.smt2,0.58,0.03,1.76,0.07
instance05447.smt2,0.62,0.03,1.87,0.06
instance05448.smt2,0.7,0.03,1.87,0.06
instance05449.smt2,0.69,0.03,1.96,0.07
instance05450.smt2,0.8,0.04,1.99,0.06
instance05454.smt2,0.56,0.02,2.03,0.07
instance05462.smt2,0.53,0.03,1.96,0.05
instance05465.smt2,0.81,0.02,2.07,0.06
instance05470.smt2,0.55,0.03,1.93,0.06
instance05472.smt2,0.58,0.03,1.77,0.06
instance05474.smt2,0.85,0.02,1.8,0.06
instance05476.smt2,0.55,0.02,1.95,0.06
instance05477.smt2,0.61,0.02,1.91,0.08
instance05481.smt2,0.53,0.04,1.81,0.08
instance05486.smt2,0.59,0.06,1.86,0.06
instance05487.smt2,0.58,0.03,1.97,0.07
instance05493.smt2,0.8,0.05,2.05,0.12
instance05494.smt2,0.53,0.04,1.83,0.06
instance05507.smt2,0.6,0.03,1.89,0.1
instance05512.smt2,0.62,0.02,1.78,0.05
instance05515.smt2,0.81,0.02,1.89,0.05
instance05522.smt2,0.64,0.03,2.02,0.06
instance05547.smt2,0.63,0.03,1.64,0.06
instance05567.smt2,0.56,0.03,1.85,0.05
instance05572.smt2,0.78,0.03,2.15,0.08
instance05592.smt2,0.6,0.02,1.83,0.05
instance05600.smt2,0.65,0.02,2.1,0.06
instance05615.smt2,0.47,0.03,1.92,0.08
instance05619.smt2,0.76,0.02,1.83,0.06
instance05632.smt2,0.84,0.03,2.0,0.06
instance05635.smt2,0.82,0.02,1.92,0.06
instance05641.smt2,0.74,0.04,1.88,0.06
instance05655.smt2,0.49,0.04,2.01,0.07
instance05672.smt2,0.64,0.04,2.06,0.06
instance05673.smt2,0.81,0.02,2.15,0.07
instance05675.smt2,0.78,0.04,2.01,0.08
instance05680.smt2,0.86,0.03,1.88,0.06
instance05684.smt2,0.7,0.02,1.85,0.06
instance05698.smt2,0.82,0.04,1.75,0.06
instance05710.smt2,0.89,0.03,2.2,0.06
instance05728.smt2,0.83,0.02,1.77,0.06
instance05742.smt2,0.78,0.03,1.97,0.09
instance05746.smt2,0.48,0.04,1.82,0.05
instance05753.smt2,0.87,0.04,2.04,0.07
instance05764.smt2,0.91,0.03,2.13,0.07
instance05776.smt2,0.87,0.03,1.86,0.06
instance05785.smt2,0.48,0.03,1.78,0.07
instance05787.smt2,0.7,0.03,1.72,0.06
instance05799.smt2,0.7,0.03,1.77,0.06
instance05806.smt2,0.61,0.02,1.83,0.06
instance05812.smt2,0.62,0.04,1.71,0.07
instance05820.smt2,0.61,0.03,1.89,0.08
instance05823.smt2,0.64,0.06,1.92,0.07
instance05826.smt2,0.59,0.03,1.84,0.06
instance05844.smt2,0.57,0.04,1.93,0.06
instance05845.smt2,0.58,0.02,1.83,0.06
instance05848.smt2,0.54,0.04,1.72,0.07
instance05850.smt2,0.55,0.03,1.91,0.06
instance05851.smt2,0.57,0.04,1.94,0.08
instance05856.smt2,0.56,0.02,1.88,0.05
instance05867.smt2,0.58,0.02,1.99,0.07
instance05871.smt2,0.61,0.02,1.88,0.07
instance05888.smt2,0.64,0.02,1.88,0.06
instance05896.smt2,0.58,0.04,1.8,0.07
instance05902.smt2,0.61,0.02,1.9,0.06
instance05937.smt2,0.53,0.02,1.63,0.06
instance05941.smt2,0.58,0.02,1.94,0.08
instance05978.smt2,0.54,0.04,1.72,0.09
instance05980.smt2,0.61,0.02,1.73,0.06
instance05982.smt2,0.6,0.02,1.83,0.07
instance05984.smt2,0.59,0.02,1.95,0.06
instance05989.smt2,0.64,0.04,1.99,0.06
instance05991.smt2,0.62,0.02,1.9,0.06
instance06349.smt2,0.63,0.02,2.07,0.06
instance06506.smt2,0.56,0.06,1.48,0.06
instance06609.smt2,0.59,0.04,2.11,0.06
instance06641.smt2,0.52,0.03,1.97,0.06
instance07107.smt2,0.51,0.02,1.92,0.08
instance07209.smt2,0.61,0.02,1.99,0.07
instance07321.smt2,0.5,0.06,1.37,0.06
instance07331.smt2,0.53,0.04,1.86,0.07
instance07492.smt2,0.51,0.06,1.41,0.06
instance07675.smt2,0.5,0.06,1.48,0.06
instance07975.smt2,0.61,0.05,2.0,0.06
instance08020.smt2,0.54,0.03,1.95,0.06
instance08272.smt2,0.54,0.04,1.44,0.06
instance08348.smt2,0.66,0.03,2.12,0.06
instance08980.smt2,0.68,0.02,2.06,0.06
instance08996.smt2,0.51,0.05,1.5,0.06
instance09054.smt2,0.64,0.06,1.46,0.06
instance09282.smt2,0.65,0.04,1.49,0.07
instance09330.smt2,0.72,0.02,2.05,0.06
instance09734.smt2,0.7,0.04,1.93,0.06
instance10004.smt2,0.61,0.03,1.83,0.06
instance10147.smt2,1.0,0.03,2.36,0.08
instance10397.smt2,0.72,0.04,2.06,0.07
instance10465.smt2,0.61,0.05,1.4,0.06
instance10512.smt2,0.6,0.04,1.4,0.06
instance11018.smt2,0.67,0.02,2.0,0.08
instance11156.smt2,0.64,0.04,1.95,0.07
instance11211.smt2,0.65,0.04,2.12,0.07
instance11215.smt2,0.76,0.02,1.92,0.07
instance11372.smt2,0.85,0.03,2.0,0.06
instance11440.smt2,0.61,0.06,1.38,0.07
instance11703.smt2,0.74,0.03,1.81,0.06
instance11709.smt2,0.67,0.04,1.9,0.09
instance11769.smt2,0.6,0.02,1.86,0.06
instance11788.smt2,0.66,0.03,1.93,0.06
instance12046.smt2,0.66,0.03,1.95,0.06
instance12162.smt2,0.77,0.05,1.34,0.06
instance12416.smt2,0.72,0.05,1.37,0.06
instance12474.smt2,0.85,0.02,2.12,0.06
instance12823.smt2,0.76,0.03,2.15,0.1
instance12961.smt2,0.96,0.05,2.15,0.07
instance13052.smt2,0.78,0.05,2.01,0.07
instance13060.smt2,0.91,0.03,2.11,0.08
instance13068.smt2,0.95,0.03,2.12,0.07
instance13358.smt2,0.73,0.04,1.45,0.06
instance13532.smt2,0.77,0.03,1.89,0.07
instance13726.smt2,0.7,0.07,1.9,0.05
instance14028.smt2,0.75,0.06,1.54,0.06
instance14633.smt2,0.67,0.06,1.45,0.08
instance14862.smt2,0.76,0.05,1.87,0.06
instance15368.smt2,0.72,0.07,1.46,0.06
instance15577.smt2,0.76,0.04,1.9,0.06
instance15594.smt2,0.72,0.06,1.46,0.06
instance15649.smt2,0.75,0.05,2.11,0.05
sub-matching-sat-13.smt2,9.07,9.13,120.0,15.79
sub-matching-sat-20.smt2,4.19,4.03,120.0,7.79
sub-matching-sat-15.smt2,11.18,13.01,120.0,21.12
sub-matching-unsat-15.smt2,5.3,5.05,120.0,10.39
sub-matching-sat-4.smt2,7.3,10.6,120.0,16.75
sub-matching-unsat-5.smt2,5.23,4.64,120.0,8.68
sub-matching-sat-25.smt2,17.29,17.73,120.0,24.99
sub-matching-sat-6.smt2,9.02,6.93,120.0,13.62
sub-matching-sat-22.smt2,4.54,3.16,120.0,5.43
sub-matching-sat-17.smt2,17.9,18.15,120.0,25.87
sub-matching-sat-7.smt2,14.6,14.57,120.0,21.6
sub-matching-sat-8.smt2,15.22,16.58,120.0,22.21
sub-matching-sat-16.smt2,7.58,6.05,120.0,11.26
sub-matching-unsat-10.smt2,13.53,17.46,120.0,23.75
sub-matching-sat-9.smt2,10.95,14.21,120.0,19.8
sub-matching-unsat-4.smt2,13.14,16.93,120.0,21.46
sub-matching-sat-11.smt2,7.0,7.06,120.0,11.15
sub-matching-sat-2.smt2,4.79,5.8,120.0,8.86
sub-matching-sat-45.smt2,8.57,12.82,120.0,17.75
sub-matching-sat-12.smt2,5.49,6.31,120.0,9.8
sub-matching-unsat-3.smt2,7.76,11.33,120.0,15.72
sub-matching-unsat-24.smt2,7.74,12.99,120.0,14.0
sub-matching-sat-29.smt2,15.49,19.21,120.0,24.37
sub-matching-unsat-6.smt2,5.78,7.21,120.0,10.53
sub-matching-unsat-14.smt2,9.1,10.72,120.0,14.4
sub-matching-unsat-13.smt2,7.58,8.39,120.0,14.3
sub-matching-sat-50.smt2,7.08,9.03,120.0,12.62
sub-matching-sat-19.smt2,9.18,11.89,120.0,17.38
sub-matching-unsat-23.smt2,13.08,15.99,120.0,20.52
sub-matching-sat-10.smt2,4.51,2.81,120.0,4.75
sub-matching-unsat-9.smt2,8.5,8.9,120.0,14.36
sub-matching-unsat-25.smt2,5.52,8.12,120.0,10.06
sub-matching-unsat-8.smt2,11.69,14.04,120.0,19.6
sub-matching-unsat-16.smt2,6.13,8.16,120.0,10.93
sub-matching-sat-27.smt2,6.2,6.47,120.0,8.08
sub-matching-unsat-17.smt2,9.53,12.58,120.0,13.0
sub-matching-unsat-20.smt2,7.36,10.68,120.0,12.57
sub-matching-sat-28.smt2,6.35,6.25,120.0,6.02
benchmark_0249.smt2,120.0,120.0,12.49,0.09
benchmark_0450.smt2,120.0,120.0,12.22,0.09
benchmark_0040.smt2,120.0,120.0,12.56,0.09
benchmark_0203.smt2,120.0,120.0,12.24,0.09
benchmark_0363.smt2,120.0,120.0,11.91,0.09
benchmark_0101.smt2,120.0,120.0,12.54,0.09
benchmark_0422.smt2,120.0,120.0,7.6,0.08
benchmark_0299.smt2,120.0,120.0,12.28,0.08
benchmark_0044.smt2,120.0,120.0,12.55,0.09
benchmark_0482.smt2,120.0,120.0,11.96,0.09
benchmark_0306.smt2,120.0,120.0,11.79,0.13
benchmark_0050.smt2,120.0,120.0,11.82,0.08
benchmark_0091.smt2,120.0,120.0,11.89,0.1
benchmark_0257.smt2,120.0,120.0,12.24,0.11
benchmark_0042.smt2,120.0,120.0,12.24,0.11
benchmark_0089.smt2,120.0,120.0,12.34,0.11
benchmark_0066.smt2,120.0,120.0,11.73,0.1
benchmark_0230.smt2,120.0,120.0,11.95,0.1
benchmark_0103.smt2,120.0,120.0,12.34,0.1
benchmark_0176.smt2,120.0,120.0,12.57,0.09
benchmark_0401.smt2,120.0,120.0,12.39,0.08
benchmark_0172.smt2,120.0,120.0,12.39,0.08
benchmark_0341.smt2,120.0,120.0,12.44,0.09
benchmark_0392.smt2,120.0,120.0,17.75,0.1
benchmark_0030.smt2,120.0,120.0,8.79,0.09
benchmark_0359.smt2,120.0,120.0,11.9,0.1
benchmark_0175.smt2,120.0,120.0,17.02,0.1
benchmark_0415.smt2,120.0,120.0,12.47,0.1
benchmark_0491.smt2,120.0,120.0,12.51,0.09
benchmark_0227.smt2,120.0,120.0,12.46,0.1
benchmark_0282.smt2,120.0,120.0,12.33,0.11
benchmark_0319.smt2,120.0,120.0,12.25,0.13
benchmark_0164.smt2,120.0,120.0,20.79,0.09
benchmark_0445.smt2,120.0,120.0,12.54,0.08
benchmark_0167.smt2,120.0,120.0,12.32,0.08
benchmark_0343.smt2,120.0,120.0,12.52,0.07
benchmark_0457.smt2,120.0,120.0,12.1,0.08
benchmark_0179.smt2,120.0,120.0,8.54,0.08
benchmark_0467.smt2,120.0,120.0,12.33,0.08
benchmark_0454.smt2,120.0,120.0,12.27,0.08
benchmark_0161.smt2,120.0,120.0,17.34,0.08
benchmark_0106.smt2,120.0,120.0,17.83,0.08
benchmark_0021.smt2,120.0,120.0,12.48,0.08
benchmark_0156.smt2,120.0,120.0,12.56,0.08
benchmark_0399.smt2,120.0,120.0,12.29,0.08
benchmark_0307.smt2,120.0,120.0,12.4,0.08
benchmark_0317.smt2,120.0,120.0,12.26,0.08
benchmark_0155.smt2,120.0,120.0,12.29,0.07
benchmark_0423.smt2,120.0,120.0,12.07,0.08
benchmark_0364.smt2,120.0,120.0,12.07,0.09
benchmark_0334.smt2,120.0,120.0,20.52,0.1
benchmark_0497.smt2,120.0,120.0,11.88,0.09
benchmark_0192.smt2,120.0,120.0,12.36,0.1
benchmark_0417.smt2,120.0,120.0,11.98,0.1
benchmark_0391.smt2,120.0,120.0,11.68,0.1
benchmark_0006.smt2,120.0,120.0,11.98,0.09
benchmark_0406.smt2,120.0,120.0,11.94,0.09
benchmark_0349.smt2,120.0,120.0,11.83,0.09
benchmark_0486.smt2,120.0,120.0,12.15,0.1
benchmark_0123.smt2,120.0,120.0,20.56,0.09
benchmark_0431.smt2,120.0,120.0,12.33,0.08
benchmark_0024.smt2,120.0,120.0,8.04,0.08
benchmark_0138.smt2,120.0,120.0,8.71,0.09
benchmark_0027.smt2,120.0,120.0,11.97,0.09
benchmark_0247.smt2,120.0,120.0,12.29,0.1
benchmark_0046.smt2,120.0,120.0,12.02,0.09
benchmark_0120.smt2,120.0,120.0,7.45,0.1
benchmark_0193.smt2,120.0,120.0,12.24,0.09
benchmark_0174.smt2,120.0,120.0,7.71,0.09
benchmark_0198.smt2,120.0,120.0,12.21,0.1
benchmark_0036.smt2,120.0,120.0,11.5,0.1
benchmark_0153.smt2,120.0,120.0,7.28,0.09
benchmark_0274.smt2,120.0,120.0,11.71,0.1
benchmark_0093.smt2,120.0,120.0,11.93,0.1
benchmark_0189.smt2,120.0,120.0,12.46,0.09
benchmark_0068.smt2,120.0,120.0,12.43,0.09
benchmark_0012.smt2,120.0,120.0,12.53,0.09
benchmark_0246.smt2,120.0,120.0,12.51,0.09
benchmark_0358.smt2,120.0,120.0,11.88,0.09
benchmark_0039.smt2,120.0,120.0,12.42,0.09
benchmark_0296.smt2,120.0,120.0,11.93,0.09
benchmark_0250.smt2,120.0,120.0,12.42,0.1
benchmark_0074.smt2,120.0,120.0,12.22,0.11
benchmark_0322.smt2,120.0,120.0,8.9,0.09
benchmark_0206.smt2,120.0,120.0,7.29,0.1
benchmark_0328.smt2,120.0,120.0,18.52,0.09
benchmark_0184.smt2,120.0,120.0,17.84,0.09
benchmark_0142.smt2,120.0,120.0,12.28,0.09
benchmark_0049.smt2,120.0,120.0,12.22,0.12
benchmark_0372.smt2,120.0,120.0,12.18,0.11
benchmark_0128.smt2,120.0,120.0,12.15,0.1
benchmark_0347.smt2,120.0,120.0,11.94,0.1
benchmark_0095.smt2,120.0,120.0,11.88,0.09
benchmark_0463.smt2,120.0,120.0,12.48,0.1
benchmark_0010.smt2,120.0,120.0,11.9,0.1
benchmark_0386.smt2,120.0,120.0,16.59,0.1
benchmark_0134.smt2,120.0,120.0,7.52,0.1
benchmark_0025.smt2,120.0,120.0,12.5,0.1
benchmark_0488.smt2,120.0,120.0,12.49,0.1
benchmark_0229.smt2,120.0,120.0,12.21,0.1
benchmark_0033.smt2,120.0,120.0,12.23,0.1
benchmark_0350.smt2,120.0,120.0,12.35,0.1
benchmark_0004.smt2,120.0,120.0,12.37,0.1
benchmark_0304.smt2,120.0,120.0,12.73,0.1
benchmark_0447.smt2,120.0,120.0,20.86,0.1
benchmark_0294.smt2,120.0,120.0,21.07,0.1
benchmark_0345.smt2,120.0,120.0,12.0,0.1
benchmark_0125.smt2,120.0,120.0,12.55,0.08
benchmark_0133.smt2,120.0,120.0,12.26,0.09
benchmark_0171.smt2,120.0,120.0,12.21,0.1
benchmark_0361.smt2,120.0,120.0,20.73,0.1
benchmark_0115.smt2,120.0,120.0,12.48,0.09
benchmark_0311.smt2,120.0,120.0,12.23,0.1
benchmark_0208.smt2,120.0,120.0,12.38,0.09
benchmark_0205.smt2,120.0,120.0,12.26,0.1
benchmark_0102.smt2,120.0,120.0,21.33,0.09
benchmark_0058.smt2,120.0,120.0,20.68,0.09
benchmark_0360.smt2,120.0,120.0,17.15,0.1
benchmark_0370.smt2,120.0,120.0,12.34,0.1
benchmark_0455.smt2,120.0,120.0,12.15,0.09
benchmark_0051.smt2,120.0,120.0,12.33,0.1
benchmark_0122.smt2,120.0,120.0,12.62,0.1
benchmark_0239.smt2,120.0,120.0,12.41,0.1
benchmark_0297.smt2,120.0,120.0,17.32,0.1
benchmark_0270.smt2,120.0,120.0,18.08,0.1
benchmark_0055.smt2,120.0,120.0,21.33,0.1
benchmark_0374.smt2,120.0,120.0,12.17,0.09
benchmark_0088.smt2,120.0,120.0,12.0,0.1
benchmark_0252.smt2,120.0,120.0,12.32,0.08
benchmark_0365.smt2,120.0,120.0,20.86,0.09
benchmark_0377.smt2,120.0,120.0,12.23,0.1
benchmark_0494.smt2,120.0,120.0,12.17,0.09
benchmark_0145.smt2,120.0,120.0,18.31,0.09
benchmark_0188.smt2,120.0,120.0,12.31,0.08
benchmark_0262.smt2,120.0,120.0,18.53,0.1
benchmark_0160.smt2,120.0,120.0,11.98,0.09
benchmark_0204.smt2,120.0,120.0,11.78,0.09
benchmark_0124.smt2,120.0,120.0,12.05,0.09
benchmark_0022.smt2,120.0,120.0,16.86,0.09
benchmark_0407.smt2,120.0,120.0,11.77,0.11
benchmark_0071.smt2,120.0,120.0,11.77,0.09
benchmark_0079.smt2,120.0,120.0,12.12,0.09
benchmark_0087.smt2,120.0,120.0,11.91,0.09
benchmark_0396.smt2,120.0,120.0,16.44,0.1
benchmark_0260.smt2,120.0,120.0,11.82,0.09
benchmark_0371.smt2,120.0,120.0,11.67,0.1
benchmark_0416.smt2,120.0,120.0,11.92,0.1
benchmark_0220.smt2,120.0,120.0,11.81,0.1
benchmark_0435.smt2,120.0,120.0,11.98,0.08
benchmark_0330.smt2,120.0,120.0,15.43,0.09
benchmark_0404.smt2,120.0,120.0,11.81,0.09
benchmark_0421.smt2,120.0,120.0,11.72,0.09
benchmark_0403.smt2,120.0,120.0,11.86,0.09
benchmark_0448.smt2,120.0,120.0,12.39,0.09
benchmark_0150.smt2,120.0,120.0,15.14,0.1
benchmark_0154.smt2,120.0,120.0,20.77,0.1
benchmark_0290.smt2,120.0,120.0,12.12,0.09
benchmark_0086.smt2,120.0,120.0,12.4,0.09
benchmark_0419.smt2,120.0,120.0,11.8,0.09
benchmark_0005.smt2,120.0,120.0,11.55,0.1
benchmark_0368.smt2,120.0,120.0,17.09,0.1
benchmark_0331.smt2,120.0,120.0,12.07,0.09
benchmark_0332.smt2,120.0,120.0,17.1,0.09
benchmark_0214.smt2,120.0,120.0,12.21,0.09
benchmark_0325.smt2,120.0,120.0,11.89,0.1
benchmark_0011.smt2,120.0,120.0,11.8,0.1
benchmark_0498.smt2,120.0,120.0,11.46,0.07
benchmark_0057.smt2,120.0,120.0,11.8,0.08
benchmark_0014.smt2,120.0,120.0,11.8,0.08
benchmark_0413.smt2,120.0,120.0,20.67,0.09
benchmark_0383.smt2,120.0,120.0,7.46,0.07
benchmark_0327.smt2,120.0,120.0,11.63,0.09
benchmark_0314.smt2,120.0,120.0,12.07,0.09
benchmark_0477.smt2,120.0,120.0,11.8,0.09
benchmark_0196.smt2,120.0,120.0,11.82,0.09
benchmark_0085.smt2,120.0,120.0,15.33,0.1
benchmark_0400.smt2,120.0,120.0,11.77,0.09
benchmark_0344.smt2,120.0,120.0,11.89,0.09
benchmark_0114.smt2,120.0,120.0,11.54,0.09
benchmark_0195.smt2,120.0,120.0,11.64,0.09
benchmark_0500.smt2,120.0,120.0,7.41,0.09
benchmark_0180.smt2,120.0,120.0,11.81,0.1
benchmark_0283.smt2,120.0,120.0,11.62,0.09
benchmark_0468.smt2,120.0,120.0,11.84,0.09
benchmark_0305.smt2,120.0,120.0,11.54,0.1
benchmark_0320.smt2,120.0,120.0,11.81,0.1
benchmark_0474.smt2,120.0,120.0,11.42,0.08
benchmark_0141.smt2,120.0,120.0,16.56,0.1
benchmark_0254.smt2,120.0,120.0,12.12,0.09
benchmark_0272.smt2,120.0,120.0,11.65,0.09
benchmark_0080.smt2,120.0,120.0,11.61,0.09
benchmark_0031.smt2,120.0,120.0,11.94,0.09
benchmark_0168.smt2,120.0,120.0,11.94,0.1
benchmark_0072.smt2,120.0,120.0,11.78,0.09
benchmark_0440.smt2,120.0,120.0,11.7,0.08
benchmark_0163.smt2,120.0,120.0,8.45,0.1
benchmark_0070.smt2,120.0,120.0,11.93,0.09
benchmark_0398.smt2,120.0,120.0,12.08,0.09
benchmark_0213.smt2,120.0,120.0,11.71,0.09
benchmark_0493.smt2,120.0,120.0,12.08,0.1
benchmark_0393.smt2,120.0,120.0,11.69,0.1
benchmark_0013.smt2,120.0,120.0,11.66,0.09
benchmark_0464.smt2,120.0,120.0,12.52,0.09
benchmark_0003.smt2,120.0,120.0,7.5,0.09
benchmark_0275.smt2,120.0,120.0,11.93,0.1
benchmark_0129.smt2,120.0,120.0,12.04,0.09
benchmark_0309.smt2,120.0,120.0,20.47,0.09
benchmark_0436.smt2,120.0,120.0,18.55,0.08
benchmark_0248.smt2,120.0,120.0,8.48,0.09
benchmark_0388.smt2,120.0,120.0,12.74,0.09
benchmark_0201.smt2,120.0,120.0,15.04,0.09
benchmark_0235.smt2,120.0,120.0,12.15,0.09
benchmark_0499.smt2,120.0,120.0,120.0,0.08
benchmark_0451.smt2,120.0,120.0,12.72,0.11
benchmark_0378.smt2,120.0,120.0,9.09,0.09
benchmark_0342.smt2,120.0,120.0,12.09,0.1
benchmark_0182.smt2,120.0,120.0,16.97,0.1
benchmark_0083.smt2,120.0,120.0,11.91,0.1
benchmark_0065.smt2,120.0,120.0,8.19,0.09
benchmark_0061.smt2,120.0,120.0,12.6,0.09
benchmark_0225.smt2,120.0,120.0,18.84,0.09
benchmark_0209.smt2,120.0,120.0,12.25,0.09
benchmark_0340.smt2,120.0,120.0,12.11,0.09
benchmark_0312.smt2,120.0,120.0,12.38,0.09
benchmark_0444.smt2,120.0,120.0,12.27,0.09
benchmark_0376.smt2,120.0,120.0,11.77,0.09
