,a-str,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
01_track_145,69.46,68.28,0.99,657796,0.04,0.02,0.00,8156,1.85,1.74,0.09,212964,0.06,0.04,0.01,27544,
01_track_146,0.57,0.52,0.04,64628,0.04,0.01,0.01,7292,1.62,1.52,0.09,209892,0.05,0.04,0.01,24452,
01_track_147,0.81,0.73,0.06,83828,0.04,0.01,0.00,7876,3.14,3.00,0.12,264088,0.08,0.04,0.01,27772,
01_track_148,60.61,59.72,0.60,705876,0.04,0.02,0.00,8120,68.92,67.89,0.84,774260,0.08,0.05,0.01,27744,
01_track_149,0.63,0.57,0.05,63376,0.05,0.02,0.00,7976,4.60,4.43,0.13,290064,0.05,0.03,0.02,27824,
01_track_15,,,,,0.04,0.01,0.00,7848,29.43,28.96,0.38,751284,0.06,0.04,0.01,27716,
01_track_150,106.07,104.87,0.87,858132,0.05,0.02,0.00,7956,2.02,1.88,0.11,211928,0.06,0.03,0.02,27596,
01_track_151,1.69,1.57,0.10,190824,0.04,0.01,0.01,7856,5.05,4.83,0.20,570060,0.06,0.04,0.01,27792,
01_track_152,2.54,2.35,0.17,219648,0.04,0.01,0.01,7296,1.79,1.64,0.14,204100,0.05,0.03,0.01,24472,
01_track_153,1.22,1.12,0.08,128980,0.03,0.02,0.00,7920,3.73,3.60,0.10,295068,0.06,0.04,0.01,27780,
01_track_154,0.55,0.50,0.04,60512,0.04,0.01,0.00,7640,1.82,1.69,0.12,202844,0.05,0.03,0.01,27160,
01_track_155,,,,,0.03,0.01,0.00,7284,9.23,8.94,0.26,701616,0.05,0.03,0.01,24456,
01_track_156,2.36,2.18,0.16,239160,0.04,0.01,0.00,7856,7.99,7.63,0.33,697100,0.06,0.04,0.01,27896,
01_track_157,,,,,0.04,0.01,0.00,7576,21.78,21.40,0.31,728016,0.05,0.03,0.01,24484,
01_track_158,,,,,0.03,0.01,0.01,7996,2.46,2.33,0.10,258716,0.06,0.04,0.01,27616,
01_track_159,,,,,0.05,0.02,0.00,8496,,,,,0.06,0.04,0.01,28140,
01_track_16,,,,,0.05,0.02,0.00,8532,5.13,4.92,0.19,335368,0.07,0.04,0.02,28596,
01_track_160,0.81,0.74,0.04,78860,0.03,0.01,0.01,7288,1.82,1.71,0.10,207236,0.05,0.03,0.01,24464,
01_track_161,24.41,23.88,0.46,672284,0.05,0.01,0.01,7940,,,,,0.06,0.04,0.01,27964,
01_track_162,,,,,0.04,0.02,0.00,8320,3.78,3.60,0.17,269228,0.06,0.04,0.01,27932,
01_track_163,0.74,0.70,0.04,79340,0.05,0.01,0.01,7736,3.66,3.48,0.16,250424,0.06,0.04,0.01,27336,
01_track_164,0.63,0.58,0.04,79480,0.04,0.01,0.00,7460,8.01,7.76,0.21,628148,0.05,0.04,0.01,24468,
01_track_165,0.93,0.86,0.05,128700,0.05,0.01,0.00,7860,8.80,8.35,0.41,710028,0.06,0.04,0.01,27836,
01_track_166,1.78,1.66,0.10,190860,0.04,0.02,0.00,7956,33.44,32.58,0.76,771284,0.06,0.05,0.01,28004,
01_track_167,0.78,0.72,0.05,76544,0.05,0.02,0.00,8268,1.80,1.65,0.14,202004,0.05,0.04,0.01,27752,
01_track_168,7.88,7.55,0.29,429268,0.04,0.01,0.00,7276,19.60,19.02,0.51,715192,0.05,0.03,0.01,24456,
01_track_169,5.68,5.40,0.25,333108,0.04,0.01,0.01,8036,2.72,2.58,0.12,257648,0.06,0.04,0.01,27968,
01_track_17,44.77,43.97,0.68,767100,,,,,10.41,10.15,0.23,708196,0.06,0.04,0.01,28112,
01_track_170,3.33,3.13,0.18,266680,0.04,0.01,0.00,7288,1.86,1.70,0.14,203988,0.05,0.03,0.01,24456,
01_track_171,1.25,1.17,0.06,142832,0.04,0.01,0.00,7516,29.37,28.95,0.34,762064,0.05,0.03,0.01,24476,
01_track_172,0.95,0.89,0.05,95992,0.04,0.02,0.00,7856,3.97,3.82,0.13,260664,0.06,0.04,0.01,27716,
01_track_173,1.64,1.53,0.09,155052,0.04,0.01,0.00,7864,40.63,39.59,0.93,758048,0.06,0.05,0.01,27884,
01_track_174,,,,,,,,,5.90,5.64,0.23,653992,0.07,0.05,0.02,28324,
01_track_175,1.35,1.26,0.08,133408,0.03,0.01,0.00,7296,1.69,1.59,0.09,212024,0.05,0.04,0.01,24468,
01_track_176,0.46,0.43,0.02,67176,0.03,0.01,0.00,6336,1.90,1.79,0.10,216228,0.05,0.03,0.01,24464,
01_track_177,,,,,0.04,0.01,0.01,8052,,,,,0.06,0.05,0.01,28184,
01_track_178,,,,,0.04,0.02,0.00,8332,,,,,0.09,0.07,0.02,29232,
01_track_179,3.27,3.12,0.12,341732,0.03,0.02,0.00,7520,28.08,27.70,0.31,745368,0.05,0.04,0.01,24464,
01_track_18,,,,,0.04,0.01,0.01,7600,18.67,18.28,0.33,736060,0.05,0.03,0.01,24480,
01_track_180,1.64,1.53,0.08,188972,0.03,0.01,0.01,7296,1.64,1.53,0.09,211696,0.05,0.03,0.01,24464,
01_track_181,1.02,0.95,0.05,106948,0.04,0.01,0.00,7516,29.84,29.02,0.73,753264,0.05,0.03,0.01,24464,
01_track_182,0.84,0.78,0.04,91868,0.05,0.02,0.00,8156,4.72,4.55,0.13,273772,0.06,0.04,0.01,27956,
01_track_183,6.10,5.93,0.15,406896,0.04,0.01,0.01,7528,21.80,21.43,0.30,736844,0.05,0.03,0.01,24480,
01_track_184,1.85,1.75,0.08,269172,0.04,0.02,0.00,8032,,,,,0.06,0.04,0.01,27920,
01_track_185,0.66,0.62,0.04,83216,0.04,0.01,0.00,7296,1.60,1.50,0.08,209312,0.05,0.03,0.01,24464,
01_track_186,0.87,0.81,0.04,103484,0.05,0.02,0.00,8060,31.49,31.04,0.36,746564,0.06,0.04,0.02,28144,
01_track_187,1.74,1.63,0.09,275316,0.05,0.02,0.00,8260,2.61,2.49,0.10,221680,0.06,0.04,0.01,27544,
01_track_188,,,,,0.05,0.03,0.00,8648,,,,,0.08,0.05,0.02,29816,
01_track_189,,,,,0.07,0.04,0.01,9352,2.95,2.80,0.13,266528,0.06,0.04,0.01,27552,
01_track_19,0.77,0.73,0.04,88908,0.04,0.01,0.00,7516,4.42,4.29,0.11,265516,0.05,0.03,0.01,24476,
01_track_190,0.60,0.56,0.03,80604,0.05,0.01,0.00,7544,8.51,8.21,0.27,703884,0.05,0.04,0.01,24468,
01_track_191,,,,,0.04,0.02,0.00,8092,3.54,3.38,0.13,268412,0.06,0.04,0.01,27516,
01_track_192,0.79,0.73,0.04,84468,0.05,0.01,0.00,7264,1.99,1.89,0.09,216776,0.05,0.03,0.01,24456,
01_track_193,0.53,0.48,0.05,66936,0.03,0.01,0.00,6316,1.43,1.34,0.08,185196,0.05,0.03,0.00,24444,
01_track_194,,,,,0.06,0.03,0.00,8964,2.38,2.22,0.12,253852,0.06,0.04,0.01,28180,
01_track_195,0.78,0.74,0.03,80068,0.04,0.01,0.00,7852,1.89,1.78,0.10,217208,0.05,0.03,0.01,27716,
01_track_196,1.09,1.03,0.05,102780,0.03,0.01,0.00,7512,21.10,20.68,0.35,739076,0.05,0.03,0.01,24476,
01_track_197,1.21,1.12,0.06,111936,0.07,0.01,0.00,7508,26.10,25.72,0.31,768328,0.05,0.03,0.01,24480,
01_track_198,,,,,0.05,0.01,0.01,8240,27.09,26.67,0.35,752560,0.10,0.08,0.01,30624,
