,a-str,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
instance00435,0.62,0.54,0.05,66080,0.06,0.01,0.00,7136,1.91,1.79,0.11,222668,0.06,0.03,0.01,26268,
instance00463,0.56,0.51,0.04,66336,0.02,0.01,0.00,7144,1.78,1.66,0.10,214712,0.08,0.03,0.01,26272,
instance00470,0.61,0.55,0.04,66464,0.04,0.01,0.00,7136,1.87,1.74,0.11,212684,0.07,0.03,0.01,26268,
instance00476,0.60,0.54,0.04,67392,0.03,0.01,0.00,6292,2.11,2.00,0.10,226948,0.07,0.03,0.01,24484,
instance00480,0.64,0.58,0.03,68476,0.04,0.01,0.00,7136,1.97,1.79,0.14,215148,0.06,0.04,0.01,26272,
instance00481,0.55,0.49,0.04,64132,0.03,0.01,0.01,6292,1.95,1.84,0.09,223396,0.07,0.03,0.01,24484,
instance00492,0.59,0.52,0.04,64808,0.04,0.01,0.00,6296,1.71,1.57,0.12,207924,0.07,0.03,0.01,24484,
instance00495,0.56,0.50,0.05,64236,0.03,0.01,0.01,6292,1.87,1.77,0.09,219424,0.08,0.03,0.01,24484,
instance00496,0.55,0.50,0.03,64084,0.05,0.01,0.01,6292,1.89,1.78,0.09,215148,0.08,0.03,0.01,24484,
instance00497,0.58,0.52,0.05,66920,0.04,0.01,0.00,7136,1.99,1.84,0.13,217096,0.07,0.04,0.01,26280,
instance00501,0.58,0.53,0.03,68808,0.05,0.01,0.00,7136,1.95,1.83,0.11,222900,0.07,0.03,0.01,26280,
instance00519,0.55,0.49,0.04,64144,0.03,0.01,0.00,6296,1.61,1.46,0.11,200204,0.06,0.04,0.00,24472,
instance00525,0.59,0.54,0.03,68348,0.03,0.01,0.00,7136,1.90,1.75,0.13,214044,0.07,0.04,0.01,26268,
instance00530,0.54,0.49,0.03,66516,0.03,0.01,0.00,6292,1.87,1.77,0.08,216784,0.06,0.04,0.01,24484,
instance00538,0.60,0.54,0.03,66120,0.03,0.01,0.00,7136,1.90,1.80,0.09,217644,0.06,0.03,0.01,26268,
instance00586,0.55,0.47,0.04,65128,0.04,0.01,0.00,6292,1.93,1.82,0.09,217708,0.06,0.03,0.01,24484,
instance00588,0.57,0.50,0.04,67144,0.03,0.01,0.00,7140,1.79,1.67,0.11,210652,0.06,0.04,0.01,26268,
instance00609,0.54,0.49,0.04,64304,0.03,0.01,0.00,6296,1.99,1.87,0.10,218296,0.06,0.03,0.01,24484,
instance00611,0.50,0.46,0.04,64060,0.04,0.01,0.00,6292,1.70,1.51,0.15,201444,0.06,0.03,0.01,24484,
instance00617,0.56,0.51,0.03,64204,0.04,0.01,0.00,6292,1.82,1.69,0.11,205476,0.05,0.03,0.01,24484,
instance00630,0.56,0.50,0.04,65848,0.04,0.01,0.00,7140,1.70,1.58,0.10,213700,0.05,0.03,0.01,26272,
instance00640,0.59,0.53,0.04,65772,0.03,0.01,0.00,6296,1.90,1.79,0.09,218696,0.06,0.03,0.01,24484,
instance00642,0.59,0.52,0.04,65536,0.03,0.01,0.01,6292,1.84,1.73,0.09,215396,0.07,0.03,0.01,24484,
instance00647,0.57,0.52,0.03,64208,0.03,0.01,0.00,6292,1.74,1.61,0.12,206884,0.07,0.04,0.00,24484,
instance00660,0.60,0.55,0.03,67048,0.04,0.01,0.00,7140,1.80,1.63,0.13,204528,0.07,0.03,0.01,26272,
instance00661,0.57,0.51,0.03,63880,0.04,0.01,0.00,6296,1.96,1.85,0.10,219436,0.06,0.03,0.01,24484,
instance00676,0.59,0.53,0.03,67244,0.04,0.01,0.00,7140,1.74,1.61,0.11,207580,0.06,0.03,0.01,26272,
instance00677,0.61,0.54,0.03,66452,0.03,0.01,0.01,7140,2.01,1.89,0.10,222696,0.07,0.03,0.01,26280,
instance00679,0.59,0.52,0.05,66876,0.03,0.01,0.00,7136,1.88,1.77,0.10,218636,0.06,0.04,0.01,26268,
instance00686,0.55,0.50,0.04,64124,0.04,0.01,0.00,6292,1.85,1.73,0.10,215208,0.06,0.03,0.01,24484,
instance00689,0.61,0.55,0.03,67248,0.03,0.01,0.01,7136,1.85,1.73,0.10,209596,0.08,0.03,0.01,26268,
instance00713,0.61,0.53,0.05,66268,0.04,0.01,0.00,7136,1.91,1.74,0.13,211720,0.07,0.03,0.01,26272,
instance00714,0.63,0.52,0.04,66872,0.03,0.01,0.01,7140,1.82,1.72,0.09,216132,0.07,0.04,0.00,26272,
instance00715,0.60,0.54,0.05,67024,0.04,0.01,0.00,7140,1.79,1.65,0.12,207732,0.07,0.03,0.01,26268,
instance00722,0.61,0.53,0.03,66304,0.04,0.01,0.00,6292,1.82,1.72,0.09,214500,0.06,0.03,0.00,24484,
instance00730,0.60,0.54,0.03,66060,0.03,0.01,0.00,7140,1.83,1.72,0.09,219584,0.07,0.03,0.01,26272,
instance00731,0.58,0.54,0.03,66456,0.04,0.01,0.00,7140,1.87,1.75,0.09,216888,0.06,0.03,0.01,26272,
instance00740,0.56,0.50,0.04,64108,0.02,0.01,0.00,6292,1.75,1.63,0.11,205852,0.06,0.03,0.01,24484,
instance00742,0.56,0.50,0.03,63840,0.04,0.01,0.01,6296,1.94,1.79,0.11,213780,0.07,0.03,0.01,24484,
instance00765,0.63,0.56,0.04,67356,0.04,0.01,0.01,7136,1.87,1.75,0.11,219324,0.07,0.03,0.01,26268,
instance00774,0.60,0.52,0.04,66308,0.04,0.01,0.01,6292,1.98,1.83,0.13,217924,0.06,0.03,0.01,24484,
instance00776,0.49,0.43,0.04,66840,0.04,0.01,0.00,7140,1.80,1.70,0.09,218188,0.07,0.04,0.01,26272,
instance00777,0.53,0.46,0.03,67080,0.04,0.01,0.01,7136,1.91,1.80,0.10,221576,0.06,0.03,0.01,26272,
instance00782,0.53,0.45,0.05,66908,0.03,0.01,0.00,7140,2.08,1.93,0.13,231756,0.07,0.03,0.01,26276,
instance00784,0.57,0.49,0.05,64900,0.04,0.01,0.01,6292,1.76,1.64,0.11,205480,0.06,0.03,0.01,24484,
instance00793,0.55,0.50,0.03,66316,0.04,0.01,0.01,7136,1.90,1.80,0.09,220492,0.14,0.03,0.01,26268,
instance00801,0.60,0.54,0.03,67320,0.05,0.01,0.00,7136,1.93,1.76,0.13,211788,0.06,0.03,0.01,26272,
instance00804,0.52,0.46,0.04,68460,0.03,0.01,0.00,7140,1.89,1.74,0.14,217464,0.07,0.03,0.01,26272,
instance00820,0.58,0.52,0.04,67684,0.04,0.01,0.01,7136,1.90,1.78,0.10,220980,0.08,0.03,0.01,26268,
instance00827,0.56,0.51,0.03,65264,0.04,0.01,0.00,6292,2.01,1.81,0.13,213996,0.07,0.03,0.01,24484,
instance00845,0.57,0.49,0.04,65992,0.03,0.01,0.00,7136,1.93,1.80,0.10,220796,0.06,0.03,0.01,26268,
instance00847,0.48,0.43,0.03,64232,0.03,0.01,0.01,6288,1.87,1.76,0.10,217816,0.06,0.03,0.01,24484,
instance00859,0.51,0.47,0.03,66152,0.03,0.01,0.00,7136,1.89,1.78,0.10,218984,0.06,0.03,0.01,26268,
instance00860,0.51,0.46,0.03,67056,0.03,0.01,0.00,7140,1.81,1.66,0.11,207764,0.06,0.03,0.01,26272,
instance00861,0.57,0.51,0.03,67260,0.03,0.01,0.00,7140,1.71,1.57,0.12,211612,0.06,0.03,0.01,26272,
instance00862,0.57,0.49,0.04,64720,0.03,0.01,0.00,6296,1.62,1.52,0.09,210808,0.06,0.03,0.01,24472,
instance00865,0.62,0.53,0.03,68940,0.04,0.01,0.00,7136,1.93,1.79,0.12,218244,0.07,0.04,0.01,26268,
instance00883,0.55,0.49,0.04,67352,0.03,0.01,0.00,7136,1.85,1.74,0.09,215768,0.08,0.03,0.01,26268,
instance00901,0.57,0.52,0.04,67208,0.04,0.01,0.00,7136,1.91,1.81,0.09,221004,0.06,0.04,0.00,26268,
instance00905,0.47,0.43,0.03,65076,0.03,0.01,0.00,6292,1.77,1.63,0.09,207568,0.06,0.03,0.01,24484,
instance00907,0.51,0.47,0.03,66364,0.04,0.01,0.00,7140,1.88,1.78,0.08,220064,0.06,0.04,0.01,26272,
instance00918,0.55,0.49,0.04,65508,0.03,0.01,0.00,6292,1.71,1.60,0.10,214112,0.07,0.04,0.01,24484,
instance00923,0.58,0.52,0.04,67584,0.03,0.01,0.00,7140,1.78,1.68,0.09,217060,0.06,0.04,0.01,26272,
instance00935,0.54,0.45,0.04,64184,0.04,0.01,0.00,6292,1.90,1.76,0.12,223984,0.06,0.04,0.01,24484,
instance00938,0.60,0.52,0.04,70792,0.04,0.01,0.00,7140,2.14,2.02,0.10,233632,0.08,0.03,0.01,26284,
instance00948,0.53,0.45,0.04,66216,0.02,0.01,0.00,7140,1.67,1.56,0.10,213640,0.07,0.03,0.01,26272,
instance00952,0.51,0.45,0.03,65292,0.03,0.01,0.00,6292,1.88,1.77,0.09,216732,0.06,0.03,0.01,24484,
instance00956,0.59,0.52,0.04,68688,0.04,0.01,0.00,7144,1.70,1.55,0.10,207320,0.06,0.04,0.01,26272,
instance00957,0.55,0.47,0.03,67180,0.02,0.01,0.00,7136,1.87,1.76,0.10,222804,0.06,0.03,0.01,26268,
instance00961,0.52,0.46,0.03,64008,0.04,0.01,0.01,6292,1.85,1.73,0.10,217336,0.06,0.03,0.01,24484,
instance00970,0.45,0.41,0.02,64012,0.03,0.01,0.00,6296,1.94,1.82,0.11,220476,0.08,0.03,0.01,24484,
instance00977,0.58,0.52,0.03,67272,0.05,0.01,0.00,7140,1.76,1.65,0.10,209504,0.06,0.03,0.01,26268,
instance00985,0.49,0.43,0.03,67416,0.05,0.01,0.00,7136,1.78,1.67,0.10,221412,0.08,0.03,0.02,26268,
instance00986,0.60,0.51,0.03,66428,0.05,0.01,0.00,7136,1.91,1.80,0.10,222736,0.10,0.03,0.01,26268,
instance00993,0.42,0.37,0.03,63528,0.05,0.01,0.00,7136,1.91,1.79,0.11,219020,0.07,0.03,0.01,26268,
instance01014,0.56,0.48,0.04,65116,0.04,0.01,0.00,6292,1.70,1.58,0.08,207712,0.12,0.03,0.01,24484,
instance01023,0.46,0.41,0.04,64008,0.03,0.01,0.00,6292,1.70,1.58,0.09,216328,0.08,0.03,0.01,24484,
instance01028,0.44,0.40,0.03,64016,0.04,0.01,0.00,6292,1.78,1.66,0.11,217552,0.07,0.03,0.01,24484,
instance01030,0.47,0.42,0.04,67112,0.03,0.01,0.00,7140,1.90,1.61,0.10,211336,0.07,0.04,0.01,26272,
instance01040,0.53,0.47,0.03,64220,0.02,0.01,0.00,6292,1.90,1.77,0.11,213408,0.07,0.04,0.01,24484,
instance01048,0.57,0.49,0.03,63844,0.04,0.01,0.00,6296,1.92,1.81,0.10,212592,0.08,0.03,0.01,24484,
instance01053,0.55,0.48,0.03,66268,0.04,0.02,0.00,7136,1.94,1.83,0.10,218260,0.06,0.03,0.01,26268,
instance01054,0.56,0.52,0.03,66044,0.04,0.01,0.01,7140,1.93,1.80,0.10,219636,0.08,0.04,0.01,26268,
instance01056,0.53,0.46,0.03,65032,0.04,0.01,0.00,6292,1.93,1.79,0.09,209548,0.07,0.03,0.01,24484,
instance01057,0.53,0.47,0.03,64232,0.04,0.01,0.00,6292,1.92,1.82,0.09,212680,0.08,0.03,0.01,24484,
instance01067,0.55,0.50,0.04,68896,0.03,0.01,0.00,6292,2.15,2.03,0.10,229632,0.06,0.04,0.01,24484,
instance01088,0.60,0.54,0.03,67184,0.03,0.01,0.00,7136,2.01,1.87,0.12,222404,0.07,0.03,0.01,26268,
instance01089,0.59,0.52,0.03,68588,0.04,0.01,0.00,7140,1.85,1.74,0.10,211848,0.07,0.03,0.01,26272,
instance01101,0.53,0.49,0.04,65060,0.02,0.01,0.00,6292,1.83,1.73,0.10,209336,0.10,0.03,0.01,24484,
instance01107,0.52,0.48,0.03,64104,0.31,0.01,0.00,6292,1.82,1.70,0.10,211848,0.06,0.03,0.01,24484,
instance01121,0.61,0.54,0.04,67404,0.04,0.01,0.01,7140,2.08,1.96,0.10,227692,0.07,0.04,0.01,26280,
instance01135,0.55,0.49,0.03,66012,0.03,0.01,0.00,7140,1.82,1.70,0.10,217752,0.09,0.04,0.01,26272,
instance01146,0.63,0.54,0.05,67464,0.05,0.01,0.00,7144,2.09,1.91,0.12,222940,0.08,0.04,0.01,26284,
instance01168,0.66,0.58,0.05,67356,0.04,0.01,0.00,7136,1.93,1.79,0.12,221796,0.06,0.04,0.01,26272,
instance01189,0.65,0.56,0.05,69512,0.03,0.01,0.00,7144,2.13,2.02,0.09,231088,0.07,0.03,0.01,26272,
instance01197,0.57,0.51,0.04,66080,0.03,0.01,0.01,7136,1.95,1.83,0.11,223032,0.06,0.03,0.01,26276,
instance01235,0.52,0.44,0.04,64060,0.05,0.01,0.00,6292,1.86,1.76,0.09,214032,0.06,0.02,0.01,24484,
instance01242,0.59,0.54,0.04,68616,0.04,0.01,0.00,7136,1.80,1.68,0.11,217456,0.07,0.03,0.02,26268,
instance01256,0.59,0.54,0.04,67708,0.03,0.01,0.00,7140,1.71,1.59,0.09,210304,0.08,0.03,0.01,26272,
instance01258,0.57,0.50,0.04,66356,0.04,0.01,0.00,7144,1.79,1.68,0.10,214764,0.06,0.03,0.01,26272,
