tool		SPF Tue Oct 14 06:39:02 PM MDT 2025	SPF Tue Oct 14 06:39:02 PM MDT 2025	SPF Tue Oct 14 06:39:02 PM MDT 2025	SPF Tue Oct 14 06:39:02 PM MDT 2025	SPF Tue Oct 14 06:39:02 PM MDT 2025	SPF Tue Oct 14 06:39:02 PM MDT 2025	SPF Tue Oct 14 06:39:02 PM MDT 2025	SPF Tue Oct 14 06:39:02 PM MDT 2025
run set		String-MAS.RuntimeException-Java	String-MAS.RuntimeException-Java	String-MAS.RuntimeException-Java	String-MAS.RuntimeException-Java	String-z3.RuntimeException-Java	String-z3.RuntimeException-Java	String-z3.RuntimeException-Java	String-z3.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
securibench/Arrays9.yml	true	true	3.288793	1.7618227319908328	93.900800	true	3.094314	1.685544565989403	111.915008
securibench/Refl4.yml	true	true	3.068737	1.653457028005505	93.921280	true	3.166883	1.744537726015551	111.550464
securibench/Pred9.yml	true	true	3.189215	1.7269669490051456	91.471872	true	3.309478	1.7988701080030296	110.718976
securibench/Arrays10.yml	false	false	3.294536	1.777872184989974	92.127232	false	3.212489	1.750394853996113	111.529984
securibench/Collections12.yml	true	true	3.222963	1.737617964972742	94.961664	true	3.275304	1.770346785982838	113.225728
securibench/Inter4.yml	true	true	3.231861	1.7515592279960401	94.171136	true	3.329175	1.7936023479851428	115.597312
securibench/Basic35.yml	true	true	3.556288	1.8797962709795684	130.818048	true	3.562733	1.998883216001559	121.507840
securibench/Arrays7.yml	true	true	3.141425	1.6865621659962926	97.062912	true	3.158645	1.7285357920045499	111.587328
securibench/Datastructures5.yml	true	true	3.13674	1.7051927990105469	99.700736	true	8.199774	6.71116263399017	145.965056
securibench/Collections7.yml	true	true	3.119085	1.6965156479855068	96.841728	true	3.275047	1.7854574189987034	112.676864
securibench/Inter1.yml	true	true	3.210329	1.7325019359996077	94.216192	true	3.302229	1.7824231720005628	112.320512
securibench/Inter2.yml	true	true	3.184041	1.7031631920253858	95.711232	true	3.222604	1.7656166270026006	112.508928
securibench/Arrays6.yml	true	true	2.970686	1.5974467319902033	94.126080	true	3.216944	1.7492359369935002	111.923200
securibench/Inter11.yml	true	true	3.19873	1.7248016989906318	97.730560	true	8.254505	6.726675693993457	156.340224
securibench/Inter6.yml	true	true	3.171211	1.7188488919928204	94.212096	true	3.232288	1.7490653510030825	111.816704
securibench/Arrays8.yml	true	true	3.200509	1.7219392559782136	97.394688	true	3.27339	1.761058549018344	116.457472
securibench/Session2.yml	true	true	3.235381	1.7353194169991184	94.367744	true	3.152228	1.7160289789899252	112.345088
securibench/Datastructures3.yml	true	true	3.256234	1.7643523949955124	94.322688	true	3.149583	1.7153139260190073	112.324608
securibench/Basic15.yml	true	true	3.456207	1.8446927320037503	107.175936	true	3.088018	1.669718549004756	112.218112
securibench/Inter7.yml	true	true	3.293984	1.758756302006077	94.355456	true	3.374041	1.8268914130167104	112.295936
